"Source:","C:\Users\kyama\OneDrive\Documents\KiCad\Kyamaries-HPS-Clock\Kyamaries-HPS-Clock.kicad_sch"
"Date:","7/13/2022 11:36:53 AM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Dielectric","Digikey PN","MFG","MPN","Mouser PN","Power","Tolerance","Voltage"
"","","BT1","Battery_Cell","HPS:Battery_Cell","footprints:BatteryHolder_Keystone_106_1x20mm","https://media.digikey.com/pdf/Data%20Sheets/Memory%20Protection%20PDFs/Coin_Cell_Guide.pdf","","BS-7-ND","MPD (Memory Protection Devices)","BS-7","N/A","","",""
"","","C1","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A"
"","","C2","C_0805_1uf","HPS:C_0805_1uf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","N/A","311-1456-1-ND","Yageo","CC0805KKX7R8BB105","N/A","","N/A","N/A"
"","","C3","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A"
"","","C4","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A"
"","","C5","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A"
"","","C6","C_0805_22pf","HPS:C_0805_22pf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","N/A","311-1103-1-ND","Yageo","CC0805JRNPO9BN220","N/A","","N/A","N/A"
"","","C7","C_0805_22pf","HPS:C_0805_22pf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","N/A","311-1103-1-ND","Yageo","CC0805JRNPO9BN220","N/A","","N/A","N/A"
"","","C8","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A"
